filename	label	is_a	part_of	dbxrefs
437814	EPG-5R#1 437814	neuron	female organism|adult brain	catmaid_fafb:437814
525851	PEN1-6R#1 525851	neuron	female organism|adult brain	catmaid_fafb:525851
607812	PEN1-6R#2 607812	neuron	female organism|adult brain	catmaid_fafb:607812
632638	Delta7-6R3L#1 632638	neuron	female organism|adult brain	catmaid_fafb:632638
649823	PEN1-5L 649823	neuron	female organism|adult brain	catmaid_fafb:649823
659759	PEN2-6R#1 659759	neuron	female organism|adult brain	catmaid_fafb:659759
668576	PEN1-5R 668576	neuron	female organism|adult brain	catmaid_fafb:668576
676155	Delta7-5R4L#2 676155	neuron	female organism|adult brain	catmaid_fafb:676155
676911	EPG-6L#1 676911	neuron	female organism|adult brain	catmaid_fafb:676911
803916	Delta7-1R9R8L#1 803916	neuron	female organism|adult brain	catmaid_fafb:803916
806288	PEN2-5R 806288	neuron	female organism|adult brain	catmaid_fafb:806288
827466	PEN1-7L 827466	neuron	female organism|adult brain	catmaid_fafb:827466
828911	PEN1-7R 828911	neuron	female organism|adult brain	catmaid_fafb:828911
854144	neuron_fragment#1 854144	neuron	female organism|adult brain	catmaid_fafb:854144
854150	EPG-7L#1 854150	neuron	female organism|adult brain	catmaid_fafb:854150
854156	EPG-7L#2 854156	neuron	female organism|adult brain	catmaid_fafb:854156
861090	EPG-5R#2 861090	neuron	female organism|adult brain	catmaid_fafb:861090
963438	PEG-6L 963438	neuron	female organism|adult brain	catmaid_fafb:963438
1032767	PEG-5L 1032767	neuron	female organism|adult brain	catmaid_fafb:1032767
1274114	EPG-6R#1 1274114	neuron	female organism|adult brain	catmaid_fafb:1274114
1274268	EPG-6R#2 1274268	neuron	female organism|adult brain	catmaid_fafb:1274268
1274528	EPG-6L#2 1274528	neuron	female organism|adult brain	catmaid_fafb:1274528
1568214	EPG-5L#1 1568214	neuron	female organism|adult brain	catmaid_fafb:1568214
1625086	PEN2-7R 1625086	neuron	female organism|adult brain	catmaid_fafb:1625086
1639675	PEN2-7L 1639675	neuron	female organism|adult brain	catmaid_fafb:1639675
2703303	PEN2-5L 2703303	neuron	female organism|adult brain	catmaid_fafb:2703303
3017999	Delta7-5R4L#1 3017999	neuron	female organism|adult brain	catmaid_fafb:3017999
3286828	PEN2-6L#1 3286828	neuron	female organism|adult brain	catmaid_fafb:3286828
3338987	PEN1-6L#1 3338987	neuron	female organism|adult brain	catmaid_fafb:3338987
3349747	PEN2-6L#2 3349747	neuron	female organism|adult brain	catmaid_fafb:3349747
3423772	PEN1-6L#2 3423772	neuron	female organism|adult brain	catmaid_fafb:3423772
3457743	EPG-5L#2 3457743	neuron	female organism|adult brain	catmaid_fafb:3457743
3491680	PEN2-6R#2 3491680	neuron	female organism|adult brain	catmaid_fafb:3491680
3512247	PEG-6R 3512247	neuron	female organism|adult brain	catmaid_fafb:3512247
3849973	PEG-5R 3849973	neuron	female organism|adult brain	catmaid_fafb:3849973
4040702	EPG-6R#3 4040702	neuron	female organism|adult brain	catmaid_fafb:4040702
4087066	EPG-5L#3 4087066	neuron	female organism|adult brain	catmaid_fafb:4087066
4210786	EPG-5R#3 4210786	neuron	female organism|adult brain	catmaid_fafb:4210786
6102788	Delta7-6R3L#2 6102788	neuron	female organism|adult brain	catmaid_fafb:6102788
6254861	Delta7-7R2L#1 6254861	neuron	female organism|adult brain	catmaid_fafb:6254861
6346245	R4d#1 6346245	neuron	female organism|adult brain	catmaid_fafb:6346245
6353358	R4d#2 6353358	neuron	female organism|adult brain	catmaid_fafb:6353358
6393609	R4d#8 6393609	neuron	female organism|adult brain	catmaid_fafb:6393609
6417166	R4d#3 6417166	neuron	female organism|adult brain	catmaid_fafb:6417166
6454109	Delta7-2R7L#1 6454109	neuron	female organism|adult brain	catmaid_fafb:6454109
6813859	R4d#4 6813859	neuron	female organism|adult brain	catmaid_fafb:6813859
7014054	R4d#5 7014054	neuron	female organism|adult brain	catmaid_fafb:7014054
7014310	R4d#6 7014310	neuron	female organism|adult brain	catmaid_fafb:7014310
7029666	R4d#7 7029666	neuron	female organism|adult brain	catmaid_fafb:7029666
