id	name
19711421	Berck, Khandelwal et al. 2016
19862922	Burgos et al 2018
20522905	Carreira-Rosario, Arzan Zarin, Clark et al. 2018
19711583	Eichler, Li, Litwin-Kumar et al. 2017
19712396	Fushiki et al. 2016
19756692	Gerhard et al. 2017
19756504	Heckscher et al. 2015
20498648	Jovanic et al. 2019
19712156	Jovanic, Schneider-Mizell et al. 2016
19711972	Larderet, Fritsch et al. 2017
20726939	Mark et al. 2019
20282757	Miroschnikow et al. 2018
19712046	Ohyama, Schneider-Mizell et al. 2015
19712202	Schlegel et al. 2016
19716589	Takagi et al. 2017
20726614	Zarin, Mark et al. 2019
19496665	Zwart et al. 2016
